date,sample_measurement
2020-01-01 07:00:00,11.0
2020-01-04 07:00:00,7.0
2020-01-07 07:00:00,11.0
2020-01-10 07:00:00,2.0
2020-01-13 07:00:00,5.0
2020-01-16 07:00:00,
2020-01-17 07:00:00,
2020-01-19 07:00:00,
2020-01-22 07:00:00,
2020-01-25 07:00:00,
2020-01-28 07:00:00,
2020-01-31 07:00:00,8.0
2020-02-03 07:00:00,8.0
2020-02-06 07:00:00,4.0
2020-02-09 07:00:00,2.0
2020-02-12 07:00:00,4.0
2020-02-15 07:00:00,8.0
2020-02-18 07:00:00,11.0
2020-02-21 07:00:00,30.0
2020-02-24 07:00:00,7.0
2020-02-27 07:00:00,10.0
2020-03-01 07:00:00,7.0
2020-03-04 07:00:00,52.0
2020-03-07 07:00:00,21.0
2020-03-10 07:00:00,
2020-03-13 07:00:00,
2020-03-16 07:00:00,
2020-03-19 07:00:00,
2020-03-22 07:00:00,
2020-03-25 07:00:00,
2020-03-28 07:00:00,
2020-03-31 07:00:00,
2020-04-03 07:00:00,6.0
2020-04-06 07:00:00,11.0
2020-04-09 07:00:00,13.0
2020-04-12 07:00:00,8.0
2020-04-15 07:00:00,8.0
2020-04-18 07:00:00,11.0
2020-04-21 07:00:00,9.0
2020-04-24 07:00:00,7.0
2020-04-27 07:00:00,12.0
2020-04-30 07:00:00,17.0
2020-05-03 07:00:00,14.0
2020-05-06 07:00:00,15.0
2020-05-09 07:00:00,10.0
2020-05-12 07:00:00,11.0
2020-05-15 07:00:00,13.0
2020-05-18 07:00:00,12.0
2020-05-21 07:00:00,10.0
2020-05-24 07:00:00,
2020-05-27 07:00:00,13.0
2020-05-30 07:00:00,14.0
2020-06-02 07:00:00,17.0
2020-06-05 07:00:00,17.0
2020-06-08 07:00:00,8.0
2020-06-11 07:00:00,15.0
2020-06-14 07:00:00,14.0
2020-06-17 07:00:00,21.0
2020-06-20 07:00:00,12.0
2020-06-23 07:00:00,16.0
2020-06-26 07:00:00,12.0
2020-06-29 07:00:00,19.0
2020-07-02 07:00:00,19.0
2020-07-05 07:00:00,13.0
2020-07-08 07:00:00,17.0
2020-07-11 07:00:00,18.0
2020-07-14 07:00:00,13.0
2020-07-17 07:00:00,13.0
2020-07-20 07:00:00,18.0
2020-07-23 07:00:00,13.0
2020-07-26 07:00:00,8.0
2020-07-29 07:00:00,14.0
2020-08-01 07:00:00,14.0
2020-08-04 07:00:00,30.0
2020-08-07 07:00:00,15.0
2020-08-10 07:00:00,
2020-08-13 07:00:00,36.0
2020-08-16 07:00:00,47.0
2020-08-19 07:00:00,29.0
2020-08-22 07:00:00,37.0
2020-08-25 07:00:00,25.0
2020-08-28 07:00:00,
2020-08-31 07:00:00,7.0
2020-09-03 07:00:00,
2020-09-06 07:00:00,19.0
2020-09-09 07:00:00,14.0
2020-09-12 07:00:00,16.0
2020-09-15 07:00:00,21.0
2020-09-18 07:00:00,46.0
2020-09-21 07:00:00,27.0
2020-09-24 07:00:00,30.0
2020-09-27 07:00:00,11.0
2020-09-30 07:00:00,19.0
2020-10-03 07:00:00,24.0
2020-10-06 07:00:00,40.0
2020-10-09 07:00:00,
2020-10-12 07:00:00,12.0
2020-10-15 07:00:00,
2020-10-18 07:00:00,10.0
2020-10-21 07:00:00,16.0
2020-10-24 07:00:00,22.0
2020-10-27 07:00:00,10.0
2020-10-30 07:00:00,26.0
2020-11-02 07:00:00,28.0
2020-11-05 07:00:00,29.0
2020-11-08 07:00:00,6.0
2020-11-11 07:00:00,
2020-11-14 07:00:00,
2020-11-17 07:00:00,34.0
2020-11-20 07:00:00,16.0
2020-11-23 07:00:00,8.0
2020-11-26 07:00:00,11.0
2020-11-29 07:00:00,23.0
2020-12-02 07:00:00,
2020-12-05 07:00:00,31.0
2020-12-08 07:00:00,51.0
2020-12-11 07:00:00,5.0
2020-12-14 07:00:00,5.0
2020-12-17 07:00:00,8.0
2020-12-20 07:00:00,
2020-12-23 07:00:00,4.0
2020-12-26 07:00:00,10.0
2020-12-29 07:00:00,6.0
