date,sample_measurement
2017-01-01 07:00:00,13.0
2017-01-04 07:00:00,5.0
2017-01-07 07:00:00,10.0
2017-01-10 07:00:00,
2017-01-13 07:00:00,3.0
2017-01-16 07:00:00,5.0
2017-01-19 07:00:00,13.0
2017-01-22 07:00:00,2.0
2017-01-25 07:00:00,
2017-01-26 07:00:00,1.0
2017-01-28 07:00:00,
2017-01-29 07:00:00,7.0
2017-01-31 07:00:00,11.0
2017-02-03 07:00:00,10.0
2017-02-06 07:00:00,16.0
2017-02-09 07:00:00,18.0
2017-02-12 07:00:00,5.0
2017-02-15 07:00:00,
2017-02-18 07:00:00,24.0
2017-02-21 07:00:00,
2017-02-24 07:00:00,9.0
2017-02-27 07:00:00,5.0
2017-03-02 07:00:00,12.0
2017-03-05 07:00:00,15.0
2017-03-08 07:00:00,18.0
2017-03-11 07:00:00,27.0
2017-03-14 07:00:00,31.0
2017-03-17 07:00:00,52.0
2017-03-20 07:00:00,29.0
2017-03-23 07:00:00,16.0
2017-03-26 07:00:00,8.0
2017-03-29 07:00:00,7.0
2017-04-01 07:00:00,10.0
2017-04-04 07:00:00,
2017-04-07 07:00:00,18.0
2017-04-10 07:00:00,
2017-04-13 07:00:00,40.0
2017-04-16 07:00:00,26.0
2017-04-19 07:00:00,13.0
2017-04-22 07:00:00,7.0
2017-04-25 07:00:00,5.0
2017-04-28 07:00:00,7.0
2017-05-01 07:00:00,9.0
2017-05-04 07:00:00,14.0
2017-05-07 07:00:00,15.0
2017-05-10 07:00:00,9.0
2017-05-13 07:00:00,12.0
2017-05-16 07:00:00,17.0
2017-05-19 07:00:00,4.0
2017-05-22 07:00:00,5.0
2017-05-25 07:00:00,16.0
2017-05-28 07:00:00,6.0
2017-05-31 07:00:00,26.0
2017-06-03 07:00:00,12.0
2017-06-06 07:00:00,20.0
2017-06-09 07:00:00,24.0
2017-06-12 07:00:00,35.0
2017-06-15 07:00:00,17.0
2017-06-18 07:00:00,13.0
2017-06-21 07:00:00,27.0
2017-06-24 07:00:00,16.0
2017-06-27 07:00:00,27.0
2017-06-30 07:00:00,17.0
2017-07-03 07:00:00,23.0
2017-07-06 07:00:00,29.0
2017-07-09 07:00:00,18.0
2017-07-12 07:00:00,11.0
2017-07-15 07:00:00,12.0
2017-07-18 07:00:00,14.0
2017-07-21 07:00:00,11.0
2017-07-24 07:00:00,13.0
2017-07-27 07:00:00,12.0
2017-07-30 07:00:00,10.0
2017-08-02 07:00:00,21.0
2017-08-05 07:00:00,14.0
2017-08-08 07:00:00,10.0
2017-08-11 07:00:00,14.0
2017-08-14 07:00:00,13.0
2017-08-17 07:00:00,20.0
2017-08-20 07:00:00,15.0
2017-08-23 07:00:00,17.0
2017-08-26 07:00:00,16.0
2017-08-29 07:00:00,21.0
2017-09-01 07:00:00,
2017-09-04 07:00:00,29.0
2017-09-07 07:00:00,
2017-09-10 07:00:00,17.0
2017-09-13 07:00:00,12.0
2017-09-16 07:00:00,12.0
2017-09-19 07:00:00,12.0
2017-09-22 07:00:00,14.0
2017-09-25 07:00:00,
2017-09-28 07:00:00,9.0
2017-10-01 07:00:00,5.0
2017-10-04 07:00:00,20.0
2017-10-07 07:00:00,13.0
2017-10-10 07:00:00,19.0
2017-10-13 07:00:00,25.0
2017-10-16 07:00:00,31.0
2017-10-19 07:00:00,32.0
2017-10-22 07:00:00,8.0
2017-10-25 07:00:00,17.0
2017-10-28 07:00:00,11.0
2017-10-31 07:00:00,7.0
2017-11-03 07:00:00,18.0
2017-11-06 07:00:00,10.0
2017-11-09 07:00:00,25.0
2017-11-12 07:00:00,16.0
2017-11-15 07:00:00,28.0
2017-11-18 07:00:00,11.0
2017-11-21 07:00:00,12.0
2017-11-24 07:00:00,29.0
2017-11-27 07:00:00,26.0
2017-11-30 07:00:00,37.0
2017-12-03 07:00:00,17.0
2017-12-06 07:00:00,11.0
2017-12-09 07:00:00,26.0
2017-12-12 07:00:00,32.0
2017-12-15 07:00:00,29.0
2017-12-18 07:00:00,29.0
2017-12-21 07:00:00,19.0
2017-12-24 07:00:00,7.0
2017-12-27 07:00:00,10.0
2017-12-30 07:00:00,30.0
