param,bdate,edate,state,county,site,fname
88101,20200101,20201231,08,035,0004,Front_Range/FRLittleton/Chatfield_2020payload.json
88101,20210101,20211231,08,035,0004,Front_Range/FRLittleton/Chatfield_2021payload.json
88101,20220101,20221231,08,035,0004,Front_Range/FRLittleton/Chatfield_2022payload.json

88101,20170101,20171231,08,069,0009,Front_Range/FRFtCollins/FTCollins-CSU_2017payload.json
88101,20180101,20181231,08,069,0009,Front_Range/FRFtCollins/FTCollins-CSU_2018payload.json
88101,20190101,20191231,08,069,0009,Front_Range/FRFtCollins/FTCollins-CSU_2019payload.json
88101,20200101,20201231,08,069,0009,Front_Range/FRFtCollins/FTCollins-CSU_2020payload.json
88101,20210101,20211231,08,069,0009,Front_Range/FRFtCollins/FTCollins-CSU_2021payload.json
88101,20220101,20221231,08,069,0009,Front_Range/FRFtCollins/FTCollins-CSU_2022payload.json

88101,20170101,20171231,08,123,0006,Front_Range/FRGreely/Greely_2017payload.json
88101,20180101,20181231,08,123,0006,Front_Range/FRGreely/Greely_2018payload.json
88101,20190101,20191231,08,123,0006,Front_Range/FRGreely/Greely_2019payload.json
88101,20200101,20201231,08,123,0006,Front_Range/FRGreely/Greely_2020payload.json
88101,20210101,20211231,08,123,0006,Front_Range/FRGreely/Greely_2021payload.json
88101,20220101,20221231,08,123,0006,Front_Range/FRGreely/Greely_2022payload.json

88101,20170101,20171231,08,041,0017,Front_Range/FRColoradoSprings/Colorado-College_2017payload.json
88101,20180101,20181231,08,041,0017,Front_Range/FRColoradoSprings/Colorado-College_2018payload.json
88101,20190101,20191231,08,041,0017,Front_Range/FRColoradoSprings/Colorado-College_2019payload.json
88101,20200101,20201231,08,041,0017,Front_Range/FRColoradoSprings/Colorado-College_2020payload.json
88101,20210101,20211231,08,041,0017,Front_Range/FRColoradoSprings/Colorado-College_2021payload.json
88101,20220101,20221231,08,041,0017,Front_Range/FRColoradoSprings/Colorado-College_2022payload.json

88101,20170101,20171231,08,101,0015,Front_Range/FRPueblo/Fountain-School_2017payload.json
88101,20180101,20181231,08,101,0015,Front_Range/FRPueblo/Fountain-School_2018payload.json
88101,20190101,20191231,08,101,0015,Front_Range/FRPueblo/Fountain-School_2019payload.json
88101,20200101,20201231,08,101,0015,Front_Range/FRPueblo/Fountain-School_2020payload.json
88101,20210101,20211231,08,101,0015,Front_Range/FRPueblo/Fountain-School_2021payload.json
88101,20220101,20221231,08,101,0015,Front_Range/FRPueblo/Fountain-School_2022payload.json
